SHOOTING HOMICIDE INCIDENT ID,DATE,MONTH,PRECINCT,PATROL BOROUGH,BOROUGH,VICTIM AGE,VICTIM<1,VICTIM SEX,VICTIM RACE,VICTIM ETHNIC,PER STATUS DESCRIPTION,PERP AGE,PERP SEX,PERP RACE,PERP ETHNIC,VICTIM PERP RELATIONSHIP,WEAPON USE,CIRCUMSTANCE,OTHER CIRCUMSTANCE,IN/OUT,CASE NUMBER,RECORD NUMBER,VICTIM NUMBER,DOMESTIC INCIDENT
27437             ,"Jan 1, 2016",1,102,PBQS,QUEENS,19,,F,WHITE HISPANIC,HISPANIC,ARRESTED,24,M,WHITE HISPANIC,HISPANIC,INTIMATE PARTNER,"HANDS, FISTS, FEET, ETC.",OTHER ARGUMENT,DOMESTIC,I  ,1,1,1,YES
27439             ,"Jan 4, 2016",1,050,PBBX,BRONX,28,,M,WHITE HISPANIC,HISPANIC,ARRESTED,42,M,WHITE HISPANIC,HISPANIC,OTHER-KNOWN TO VICTIM,CUTTING/STABBING,OTHER ARGUMENT,,O  ,2,1,2,NO
27447             ,"Jan 4, 2016",1,047,PBBX,BRONX,39,,F,BLACK,,ARRESTED,61,M,BLACK,,CHILD,BLUNT INSTRUMENT,OTHER ARGUMENT,DOMESTIC,I  ,3,1,3,YES
27444             ,"Jan 6, 2016",1,077,PBBN,BROOKLYN,27,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,,O  ,4,1,4,NO
27454             ,"Jan 9, 2016",1,067,PBBS,BROOKLYN,25,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,,I  ,5,1,5,NO
27455             ,"Jan 10, 2016",1,081,PBBN,BROOKLYN,29,,M,BLACK,,ARRESTED,25,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,,I  ,6,1,6,NO
27456             ,"Jan 10, 2016",1,076,PBBS,BROOKLYN,33,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,GANG/ORGANIZED CRIME RELATED,,I  ,7,1,7,NO
27458             ,"Jan 11, 2016",1,106,PBQS,QUEENS,50,,M,WHITE HISPANIC,HISPANIC,ARRESTED,38,M,BLACK HISPANIC,HISPANIC,FRIEND,HANDGUN,DRUG RELATED TRANSACTION,,I  ,8,1,8,NO
27460             ,"Jan 11, 2016",1,081,PBBN,BROOKLYN,44,,M,BLACK,,ARRESTED,48,M,BLACK,,FRIEND,HANDGUN,OTHER ARGUMENT,,I  ,9,1,9,NO
27461             ,"Jan 11, 2016",1,075,PBBN,BROOKLYN,34,,M,BLACK,,ARRESTED,23,M,BLACK,,FRIEND,HANDGUN,DRUG RELATED TRANSACTION,,O  ,10,1,10,NO
27468             ,"Jan 13, 2016",1,075,PBBN,BROOKLYN,18,,M,BLACK,,ARRESTED,16,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,11,1,11,NO
27470             ,"Jan 14, 2016",1,123,PBSI,STATEN ISLAND,43,,M,WHITE,,ARRESTED,41,M,WHITE,,OTHER-KNOWN TO VICTIM,CUTTING/STABBING,OTHER ARGUMENT,,I  ,12,1,12,NO
27479             ,"Jan 16, 2016",1,122,PBSI,STATEN ISLAND,31,,M,WHITE HISPANIC,HISPANIC,ARRESTED,31,F,WHITE HISPANIC,HISPANIC,INTIMATE PARTNER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,13,1,13,YES
27481             ,"Jan 16, 2016",1,075,PBBN,BROOKLYN,26,,M,BLACK HISPANIC,HISPANIC,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,,O  ,14,1,14,NO
27484             ,"Jan 17, 2016",1,060,PBBS,BROOKLYN,37,,M,BLACK,,,,,,,,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,15,1,15,NO
27488             ,"Jan 20, 2016",1,090,PBBN,BROOKLYN,17,,M,WHITE HISPANIC,HISPANIC,ARRESTED,19,M,BLACK,,,CUTTING/STABBING,OTHER ARGUMENT,,O  ,16,1,16,NO
27492             ,"Jan 21, 2016",1,048,PBBX,BRONX,36,,M,BLACK HISPANIC,HISPANIC,ARRESTED,24,M,BLACK,,,HANDGUN,ROBBERY,,I  ,17,1,17,NO
27506             ,"Jan 22, 2016",1,075,PBBN,BROOKLYN,61,,M,BLACK HISPANIC,HISPANIC,ARRESTED,18,M,BLACK,,,CUTTING/STABBING,ROBBERY,,I  ,18,1,18,NO
27502             ,"Jan 23, 2016",1,072,PBBS,BROOKLYN,37,,M,WHITE,,ARRESTED,32,M,WHITE,,FRIEND,HANDGUN,OTHER ,ACCIDENTAL,I  ,19,1,19,NO
27499             ,"Jan 24, 2016",1,040,PBBX,BRONX,59,,F,BLACK HISPANIC,HISPANIC,ARRESTED,26,M,BLACK HISPANIC,HISPANIC,FRIEND,CUTTING/STABBING,OTHER ,SCHIZOPHRENIA,I  ,20,1,20,NO
27513             ,"Jan 27, 2016",1,101,PBQS,QUEENS,36,,F,BLACK,,ARRESTED,29,M,BLACK,,INTIMATE PARTNER,HANDGUN,OTHER ARGUMENT,DOMESTIC,I  ,21,1,21,YES
27514             ,"Jan 27, 2016",1,025,PBMN,MANHATTAN,62,,M,WHITE,,DOA,21,M,BLACK,,FRIEND,CUTTING/STABBING,OTHER ARGUMENT,,I  ,22,1,22,NO
27526             ,"Feb 2, 2016",2,047,PBBX,BRONX,59,,M,BLACK,,ARRESTED,37,M,BLACK,,FRIEND,BLUNT INSTRUMENT,OTHER ARGUMENT,,O  ,23,1,23,NO
27346             ,"Feb 3, 2016",2,067,PBBS,BROOKLYN,38,,M,BLACK,,,,,,,,EXPLOSIVES,OTHER ARGUMENT,,I  ,24,1,24,NO
27538             ,"Feb 5, 2016",2,111,PBQN,QUEENS,57,,M,WHITE,,ARRESTED,19,M,WHITE,,PARENT,BLUNT INSTRUMENT,OTHER ARGUMENT,DOMESTIC,O  ,25,1,25,YES
27540             ,"Feb 5, 2016",2,044,PBBX,BRONX,43,,M,WHITE HISPANIC,HISPANIC,ARRESTED,40,M,WHITE HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,UNKNOWN,OTHER ARGUMENT,,O  ,26,1,26,NO
27539             ,"Feb 8, 2016",2,049,PBBX,BRONX,29,,M,BLACK,,ARRESTED,35,M,BLACK,,FRIEND,HANDGUN,OTHER ARGUMENT,,I  ,27,1,27,NO
27546             ,"Feb 10, 2016",2,121,PBSI,STATEN ISLAND,26,,F,BLACK,,ARRESTED,23,M,BLACK,,INTIMATE PARTNER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,28,1,28,YES
27546             ,"Feb 10, 2016",2,121,PBSI,STATEN ISLAND,0,< 1,F,BLACK,,ARRESTED,23,M,BLACK,,CHILD OF INTIMATE PARTNER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,29,2,29,YES
27546             ,"Feb 10, 2016",2,121,PBSI,STATEN ISLAND,1,,F,BLACK,,ARRESTED,23,M,BLACK,,CHILD,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,30,3,30,YES
27549             ,"Feb 11, 2016",2,075,PBBN,BROOKLYN,16,,M,BLACK,,ARRESTED,15,M,BLACK,,,HANDGUN,OTHER ARGUMENT,,I  ,31,1,31,NO
27552             ,"Feb 13, 2016",2,032,PBMN,MANHATTAN,22,,M,BLACK,,ARRESTED,29,M,BLACK,,STRANGER,HANDGUN,OTHER ARGUMENT,,I  ,32,1,32,NO
27553             ,"Feb 13, 2016",2,069,PBBS,BROOKLYN,24,,M,BLACK,,ARRESTED,26,M,BLACK,,FRIEND,HANDGUN,OTHER ARGUMENT,,O  ,33,1,33,NO
27556             ,"Feb 15, 2016",2,072,PBBS,BROOKLYN,44,,M,ASIAN/PAC.ISL,,ARRESTED,35,F,ASIAN/PAC.ISL,,OTHER-KNOWN TO VICTIM,CUTTING/STABBING,OTHER ARGUMENT,,O  ,34,1,34,NO
27557             ,"Feb 15, 2016",2,067,PBBS,BROOKLYN,33,,M,BLACK,,,,,,,,HANDGUN,UNKNOWN,,O  ,35,1,35,NO
27562             ,"Feb 16, 2016",2,081,PBBN,BROOKLYN,29,,M,BLACK,,ARRESTED,42,M,BLACK,,,HANDGUN,OTHER ARGUMENT,,O  ,36,1,36,NO
27637             ,"Feb 17, 2016",2,121,PBSI,STATEN ISLAND,54,,M,BLACK,,ARRESTED,53,M,BLACK,,UNKNOWN RELATIONSHIP,"HANDS, FISTS, FEET, ETC.",OTHER ARGUMENT,,O  ,37,1,37,NO
27588             ,"Feb 21, 2016",2,120,PBSI,STATEN ISLAND,1,,M,BLACK HISPANIC,HISPANIC,ARRESTED,31,F,BLACK,,OTHER-KNOWN TO VICTIM,"HANDS, FISTS, FEET, ETC.",INAPPROPRIATE CARE-GIVING,,I  ,38,1,38,NO
27586             ,"Feb 22, 2016",2,040,PBBX,BRONX,20,,M,WHITE HISPANIC,HISPANIC,,,,,,,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,39,1,39,NO
27593             ,"Feb 25, 2016",2,075,PBBN,BROOKLYN,23,,M,BLACK,,,,,,,,HANDGUN,UNKNOWN,,I  ,40,1,40,NO
27613             ,"Mar 1, 2016",3,046,PBBX,BRONX,27,,M,WHITE HISPANIC,HISPANIC,ARRESTED,54,M,WHITE HISPANIC,HISPANIC,FRIEND,CUTTING/STABBING,OTHER ARGUMENT,,O  ,41,1,41,NO
27626             ,"Mar 4, 2016",3,043,PBBX,BRONX,36,,M,WHITE HISPANIC,HISPANIC,ARRESTED,50,M,WHITE HISPANIC,HISPANIC,SIBLING,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,42,1,42,YES
27627             ,"Mar 4, 2016",3,121,PBSI,STATEN ISLAND,26,,M,BLACK,,ARRESTED,35,M,BLACK,,INTIMATE PARTNER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,43,1,43,YES
27639             ,"Mar 5, 2016",3,108,PBQN,QUEENS,34,,M,WHITE HISPANIC,HISPANIC,ARRESTED,21,M,WHITE HISPANIC,HISPANIC,STRANGER,BLUNT INSTRUMENT,OTHER ARGUMENT,,O  ,44,1,44,NO
27628             ,"Mar 6, 2016",3,113,PBQS,QUEENS,24,,M,BLACK,,WANTED,34,M,BLACK,,,HANDGUN,DRUG RELATED TRANSACTION,,O  ,45,1,45,NO
27629             ,"Mar 6, 2016",3,114,PBQN,QUEENS,55,,M,WHITE,,ARRESTED,23,M,WHITE,,STRANGER,CUTTING/STABBING,OTHER ARGUMENT,,I  ,46,1,46,NO
27630             ,"Mar 7, 2016",3,040,PBBX,BRONX,34,,F,WHITE HISPANIC,HISPANIC,DOA,42,M,WHITE HISPANIC,HISPANIC,SPOUSE,CUTTING/STABBING,MURDER-SUICIDE,DOMESTIC,I  ,47,1,47,YES
27640             ,"Mar 9, 2016",3,034,PBMN,MANHATTAN,57,,M,WHITE,,ARRESTED,25,M,WHITE HISPANIC,HISPANIC,FRIEND,CUTTING/STABBING,OTHER ARGUMENT,,I  ,48,1,48,NO
27717             ,"Mar 9, 2016",3,034,PBMN,MANHATTAN,38,,M,BLACK HISPANIC,HISPANIC,,,,,,,CUTTING/STABBING,OTHER ARGUMENT,,O  ,49,1,49,NO
27646             ,"Mar 10, 2016",3,077,PBBN,BROOKLYN,22,,M,BLACK,,,,,,,,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,50,1,50,NO
27666             ,"Mar 10, 2016",3,122,PBSI,STATEN ISLAND,23,,F,WHITE,,ARRESTED,23,M,BLACK,,INTIMATE PARTNER,UNKNOWN,OTHER ARGUMENT,DOMESTIC,I  ,51,1,51,YES
27649             ,"Mar 11, 2016",3,123,PBSI,STATEN ISLAND,24,,M,WHITE,,ARRESTED,22,M,WHITE,,FRIEND,OTHER,DRUG RELATED TRANSACTION,,O  ,52,1,52,NO
27662             ,"Mar 11, 2016",3,113,PBQS,QUEENS,33,,M,BLACK,,,,,,,,HANDGUN,DRUG RELATED TRANSACTION,,O  ,53,1,53,NO
28678             ,"Mar 12, 2016",3,121,PBSI,STATEN ISLAND,0,< 1,F,WHITE,,ARRESTED,29,F,WHITE,,CHILD,UNKNOWN,INAPPROPRIATE CARE-GIVING,DOMESTIC,I  ,54,1,54,YES
27665             ,"Mar 13, 2016",3,047,PBBX,BRONX,47,,M,BLACK,,ARRESTED,23,M,BLACK,,,HANDGUN,OTHER ARGUMENT,,O  ,55,1,55,NO
27673             ,"Mar 13, 2016",3,072,PBBS,BROOKLYN,2,,F,ASIAN/PAC.ISL,,ARRESTED,24,F,ASIAN/PAC.ISL,,CHILD,UNKNOWN,INAPPROPRIATE CARE-GIVING,DOMESTIC,I  ,56,1,56,YES
27671             ,"Mar 14, 2016",3,069,PBBS,BROOKLYN,23,,M,BLACK,,,,,,,,HANDGUN,OTHER ARGUMENT,,I  ,57,1,57,NO
27674             ,"Mar 16, 2016",3,028,PBMN,MANHATTAN,53,,M,BLACK,,ARRESTED,48,M,WHITE HISPANIC,HISPANIC,STRANGER,CUTTING/STABBING,OTHER ARGUMENT,,O  ,58,1,58,NO
27739             ,"Mar 16, 2016",3,019,PBMN,MANHATTAN,78,,M,WHITE,,,,,,,,OTHER,OTHER ARGUMENT,,I  ,59,1,59,NO
27694             ,"Mar 17, 2016",3,043,PBBX,BRONX,21,,M,BLACK,,WANTED,25,M,BLACK,,STRANGER,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,60,1,60,NO
27169             ,"Mar 18, 2016",3,040,PBBX,BRONX,29,,M,BLACK,,,,,,,,HANDGUN,GANG/ORGANIZED CRIME RELATED,,O  ,61,1,61,NO
27697             ,"Mar 18, 2016",3,040,PBBX,BRONX,37,,M,WHITE HISPANIC,HISPANIC,,,,,,,HANDGUN,DRUG RELATED TRANSACTION,,O  ,62,1,62,NO
27709             ,"Mar 19, 2016",3,106,PBQS,QUEENS,26,,M,BLACK,,,,,,,,HANDGUN,UNKNOWN,,I  ,63,1,63,NO
