SHOOTING HOMICIDE INCIDENT ID,DATE,MONTH,PRECINCT,PATROL BOROUGH,BOROUGH,VICTIM AGE,VICTIM<1,VICTIM SEX,VICTIM RACE,VICTIM ETHNIC,PER STATUS DESCRIPTION,PERP AGE,PERP SEX,PERP RACE,PERP ETHNIC,VICTIM PERP RELATIONSHIP,WEAPON USE,CIRCUMSTANCE,OTHER CIRCUMSTANCE,IN/OUT,CASE NUMBER,RECORD NUMBER,VICTIM NUMBER,DOMESTIC INCIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28994             ,"Jan 1, 2017",1,048,PBBX,BRONX,0,< 1,F,BLACK HISPANIC,HISPANIC,ARRESTED,23,F,BLACK HISPANIC,HISPANIC,CHILD,"HANDS,FISTS,ECT.",INAPPROPRIATE CARE- GIVING,DOMESTIC,I  ,1,1,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28949             ,"Jan 2, 2017",1,106,PBQS,QUEENS,31,,M,BLACK,,ARRESTED,22,M,BLACK,,STRANGER,HANDGUN,ROBBERY,ROBBERY/BURGLARY,O  ,2,1,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28952             ,"Jan 2, 2017",1,042,PBBX,BRONX,42,,M,WHITE HISPANIC,HISPANIC,ARRESTED,38,M,BLACK,,OTHER-KNOWN TO VICTIM,CUTTING/STABBING,OTHER,WORDS EXCHANGED (DISP),I  ,3,1,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28959             ,"Jan 3, 2017",1,110,PBQN,QUEENS,1,,F,ASIAN/PAC.ISL,,ARRESTED,33,F,ASIAN/PAC.ISL,,CHILD,STRANGULATION,OTHER,DOMESTIC,I  ,4,1,4,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28966             ,"Jan 4, 2017",1,009,PBMS,MANHATTAN,28,,F,WHITE HISPANIC,HISPANIC,ARRESTED,36,M,WHITE HISPANIC,HISPANIC,FRIEND,ASPHYXIATION,DRUG RELATED TRANSACTION,UNKNOWN,I  ,5,1,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28968             ,"Jan 4, 2017",1,020,PBMN,MANHATTAN,56,,M,WHITE,,ARRESTED,23,M,BLACK,,INTIMATE PARTNER,ASPHYXIATION,OTHER,DOMESTIC,I  ,6,1,6,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28970             ,"Jan 6, 2017",1,048,PBBX,BRONX,48,,F,WHITE HISPANIC,HISPANIC,WANTED,,U,UNKNOWN,,UNKNOWN RELATIONSHIP,HANDGUN,UNKNOWN,UNKNOWN,O  ,7,1,7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29754             ,"Jan 7, 2017",1,121,PBSI,STATEN ISLAND,0,< 1,M,ASIAN/PAC.ISL,,ARRESTED,25,F,ASIAN/PAC.ISL,,CHILD,NEGLECT,INAPPROPRIATE CARE- GIVING,DOMESTIC,I  ,8,1,8,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28984             ,"Jan 10, 2017",1,022,PBMN,MANHATTAN,59,,M,WHITE,,ARRESTED,44,M,BLACK,,STRANGER,HANDGUN,OTHER FELONY-NOT SPECIFIED,POLICE OFFICER KILLED,O  ,9,1,9,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29094             ,"Jan 12, 2017",1,070,PBBS,BROOKLYN,44,,F,WHITE HISPANIC,HISPANIC,ARRESTED,42,M,WHITE,,SPOUSE,CUTTING/STABBING,OTHER,DOMESTIC,I  ,10,1,10,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
