,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,5
10,0
11,0
12,0
13,2
14,2
15,0
16,0
17,1
18,0
19,2
20,0
21,0
22,0
23,2
24,1
25,4
26,0
27,0
28,3
29,0
30,4
31,0
32,7
33,3
34,4
35,0
36,0
37,0
38,0
39,0
40,14
41,8
42,8
43,8
44,13
45,7
46,14
47,8
48,7
49,4
50,4
51,0
52,3
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,3
61,2
62,0
63,5
64,0
65,0
66,1
67,14
68,3
69,6
70,5
71,5
72,4
73,14
74,0
75,23
76,3
77,10
78,0
79,7
80,0
81,10
82,0
83,4
84,3
85,0
86,0
87,0
88,2
89,0
90,3
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,5
103,4
104,1
105,1
106,9
107,3
108,3
109,3
110,2
111,2
112,1
113,9
114,2
115,0
116,0
117,0
118,0
119,0
120,6
121,9
122,4
123,2
