PRECINCT,MURDERS
0,0
1,9
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,3
10,0
11,0
12,0
13,3
14,3
15,0
16,0
17,2
18,1
19,0
20,2
21,0
22,1
23,3
24,2
25,2
26,1
27,0
28,4
29,0
30,1
31,0
32,4
33,2
34,3
35,0
36,0
37,0
38,0
39,0
40,6
41,3
42,8
43,10
44,9
45,2
46,10
47,8
48,8
49,3
50,3
51,0
52,2
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,8
61,2
62,1
63,3
64,0
65,0
66,0
67,17
68,3
69,7
70,6
71,3
72,2
73,9
74,0
75,11
76,2
77,6
78,0
79,5
80,0
81,8
82,0
83,4
84,4
85,0
86,0
87,0
88,1
89,0
90,7
91,0
92,0
93,0
94,2
95,0
96,0
97,0
98,0
99,0
100,1
101,3
102,6
103,6
104,2
105,6
106,6
107,0
108,0
109,1
110,5
111,1
112,0
113,9
114,3
115,1
116,0
117,0
118,0
119,0
120,5
121,5
122,3
123,0
